recipe_file,log_dir,Voc,Jsol,Pwire,Rsheet,w_min,b_min,h,R,epsilon,H-Bar W,H-Bar W/cm2,H-Bar width,H-Bar pitch,Isotropic W,Isotropic W/cm2,Isotropic width,Isotropic pitch
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8592104398301619,0.010939807092410542,0.02139237633903873,0.17134455848491756,1.044205267543644,0.01329523439457328,0.004442660179587638,0.14166855176908194
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,46.42,0.0001,0.1,0.0005,5.0,0.025,1.0330202842831349,0.01315282276462847,0.039043604983407705,0.5731362920432779,1.0666759987411152,0.013581340630170625,0.0037697540474418445,0.1
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,215.44,0.0001,0.1,0.0005,5.0,0.025,0.9601849878161479,0.0122254549674857,0.028955394943448617,0.31430594659480704,1.0448435222562464,0.01330336090597027,0.007669445006183303,0.26751794052313616
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8592104398301619,0.010939807092410542,0.02139237633903873,0.17134455848491756,1.044205267543644,0.01329523439457328,0.004442660179587638,0.14166855176908194
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,4641.59,0.0001,0.1,0.0005,5.0,0.025,0.7190850913459497,0.009155675743311598,0.016345503626301133,0.1,1.0215630225410017,0.013006944377383818,0.003770469562819235,0.1
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,21544.35,0.0001,0.1,0.0005,5.0,0.025,0.27657186933397704,0.003521422409973458,0.01634550611729191,0.1,0.8556205649993407,0.010894099386458031,0.0037702838462475075,0.1
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,6.81e-08,1000.0,0.0001,0.1,0.0005,5.0,0.025,1.1218900430978442,0.014284347677168113,0.004274608932780148,0.10045427218837813,1.197366316418535,0.015245341435979543,0.0009838466773567512,0.1
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1.47e-07,1000.0,0.0001,0.1,0.0005,5.0,0.025,1.0730296190722481,0.013662237436748943,0.006780432915979771,0.11708738556446542,1.1667117310028996,0.014855035132193054,0.001438113925612302,0.12507173572235114
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,3.16e-07,1000.0,0.0001,0.1,0.0005,5.0,0.025,1.0068030156898629,0.012819014133349498,0.010726094259897867,0.13631898570594606,1.1402912880672371,0.014518639604842013,0.002119374437254221,0.1
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,6.81e-07,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.9162409851407041,0.01166594254788247,0.01699117563166016,0.1587685035284581,1.0904346198219275,0.013883844789055312,0.0031112196332748446,0.1
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8592104398301619,0.010939807092410542,0.02139237633903873,0.17134455848491756,1.044205267543644,0.01329523439457328,0.004442660179587638,0.14166855176908194
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1.47e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.7923802360474905,0.010088898510022476,0.026939908421982798,0.18494119039310447,1.0170565768314843,0.012949566528548222,0.004570980882217686,0.1
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,0.242,0.025,0.0028695818462280706,0.01559689008380454,0.00017264938327958722,0.1,0.002907841965167702,0.015804843333327323,0.00010706982375314857,0.10095886429799761
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,0.585,0.025,0.016595061406147162,0.0154353776240886,0.0006489343659117574,0.1,0.016847022523835135,0.01566973138168667,0.0003181763520224387,0.1
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,1.414,0.025,0.09324988323906441,0.014845663250540849,0.002449890092916766,0.1,0.09607259266967648,0.01529504712326443,0.0009059923002566653,0.1
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,3.42,0.025,0.46972667364736576,0.012783304608784206,0.010787573975570109,0.13624715615683186,0.5252747127413342,0.014295008210040478,0.0024693914218068148,0.1
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8592104398301619,0.010939807092410542,0.02139237633903873,0.17134455848491756,1.044205267543644,0.01329523439457328,0.004442660179587638,0.14166855176908194
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,8.27,0.025,1.4550905311864795,0.006772189823345404,0.05295854476664425,0.23208789438070485,2.5072686914879823,0.011669170510677592,0.0065716042739750674,0.1
../recipes/center_circle.csv,epsilon_redo,0.8,0.000632,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.03810342412895098,0.00048514786390796357,0.00534157104538178,0.33899261127421776,0.03862669491258664,0.0004918103544512584,0.0009096766686086039,0.13721580625438187
../recipes/center_circle.csv,epsilon_redo,0.8,0.002,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.11558442515417033,0.0014716666086177132,0.008488923682632866,0.27021988219282683,0.11885552377312515,0.0015133155297815317,0.0021357132091307804,0.2393272271155027
../recipes/center_circle.csv,epsilon_redo,0.8,0.006325,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.33414711692424814,0.004254493230271969,0.013477402062935134,0.21523600322671468,0.36121374667768497,0.00459911626371978,0.0030382906831774234,0.15566837747728215
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8592104398301619,0.010939807092410542,0.02139237633903873,0.17134455848491756,1.044205267543644,0.01329523439457328,0.004442660179587638,0.14166855176908194
../recipes/center_circle.csv,epsilon_redo,0.8,0.063246,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,1.474769828830433,0.01877735265449214,0.03393270716423735,0.13633693791884538,2.810009118958769,0.03577814731324719,0.0067043063577934565,0.1
