recipe_file,log_dir,Voc,Jsol,Pwire,Rsheet,w_min,b_min,h,R,epsilon,power,width,pitch
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8592104398301619,0.02139237633903873,0.17134455848491756
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.7908468423748047,0.02139237633903873,0.279
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8312798046063383,0.02139237633903873,0.237
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8524943955426391,0.02139237633903873,0.202
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8592094476876859,0.02139237633903873,0.171
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8534969103956844,0.02139237633903873,0.146
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8367840619344713,0.02139237633903873,0.124
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8092943495934724,0.02139237633903873,0.105
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.819539114161081,0.035,0.17134455848491756
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.840684469700212,0.03,0.17134455848491756
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8553000133031432,0.025,0.17134455848491756
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8591566739164814,0.021,0.17134455848491756
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8544310554843425,0.018,0.17134455848491756
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8388224172062855,0.015,0.17134455848491756
../recipes/center_circle.csv,epsilon_redo,0.8,0.02,1e-06,1000.0,0.0001,0.1,0.0005,5.0,0.025,0.8186498456720135,0.013,0.17134455848491756
